class_idx,n_samples,mean_weight,std_weight,p10,p50,p90
144,186,0.6000000238418579,0.21701614558696747,0.29297298192977905,0.615135133266449,0.8799999952316284
145,182,0.5999999642372131,0.21129892766475677,0.310939222574234,0.6154696345329285,0.8733701109886169
146,184,0.6000000238418579,0.2148011177778244,0.3053551912307739,0.6043716073036194,0.8758469820022583
147,190,0.6000000238418579,0.2090543806552887,0.30328041315078735,0.5957671999931335,0.8719576001167297
148,188,0.6000000238418579,0.21162213385105133,0.3191443979740143,0.6106951832771301,0.8836363554000854
149,184,0.6000000238418579,0.20475779473781586,0.2979235053062439,0.6502732634544373,0.8502731919288635
150,188,0.6000000238418579,0.21244940161705017,0.3028877079486847,0.6042780876159668,0.8637433648109436
151,184,0.6000000238418579,0.19286683201789856,0.28633880615234375,0.6415300369262695,0.8266666531562805
152,186,0.5999999642372131,0.21855171024799347,0.29513514041900635,0.6259459853172302,0.8745945692062378
153,175,0.6000000238418579,0.20259574055671692,0.2786206901073456,0.6321839094161987,0.8312643766403198
154,187,0.5999999642372131,0.2162097543478012,0.2795698940753937,0.6064516305923462,0.8847311735153198
155,148,0.6000000238418579,0.19057612121105194,0.2944217622280121,0.6353741884231567,0.8057143092155457
156,70,0.6000000238418579,0.203106090426445,0.31942030787467957,0.6057971119880676,0.832463800907135
157,187,0.6000000834465027,0.1973036676645279,0.30408602952957153,0.6236559748649597,0.84086012840271
158,190,0.6000000238418579,0.21219444274902344,0.2823280394077301,0.6211640238761902,0.8645502924919128
159,183,0.6000000238418579,0.2098887413740158,0.3054945170879364,0.6241758465766907,0.8734065890312195
160,191,0.6000000238418579,0.20548683404922485,0.30105262994766235,0.6189473867416382,0.854736864566803
161,181,0.6000000238418579,0.2059609591960907,0.30222222208976746,0.6111111044883728,0.8622221946716309
162,189,0.6000000238418579,0.11324645578861237,0.4719149172306061,0.5914893746376038,0.7387233972549438
163,184,0.6000000834465027,0.1996208280324936,0.320000022649765,0.6043715476989746,0.8478688597679138
164,181,0.5999999642372131,0.2104365974664688,0.3155555725097656,0.6266667246818542,0.855555534362793
165,191,0.6000000834465027,0.20040884613990784,0.31789475679397583,0.6063157916069031,0.8884210586547852
166,186,0.6000000238418579,0.2136583775281906,0.2778378427028656,0.6281081438064575,0.8897297382354736
