class_idx,baseline_acc,tta_acc,delta
351,0.904762,0.857143,-0.047619
352,0.904762,0.904762,0.000000
353,0.550000,0.550000,0.000000
354,0.850000,0.800000,-0.050000
355,0.904762,0.904762,0.000000
356,0.950000,0.900000,-0.050000
357,0.750000,0.750000,0.000000
358,0.428571,0.476190,0.047619
359,0.850000,0.850000,0.000000
360,0.714286,0.666667,-0.047619
361,0.600000,0.600000,0.000000
362,0.800000,0.850000,0.050000
363,0.857143,0.857143,0.000000
364,0.500000,0.500000,0.000000
365,0.315789,0.315789,0.000000
366,0.857143,0.714286,-0.142857
367,0.850000,0.850000,0.000000
368,0.652174,0.652174,0.000000
369,0.761905,0.761905,0.000000
370,0.809524,0.809524,0.000000
371,0.650000,0.650000,0.000000
372,0.904762,0.904762,0.000000
373,0.700000,0.700000,0.000000
374,0.761905,0.761905,0.000000
375,0.750000,0.750000,0.000000
376,0.714286,0.619048,-0.095238
377,0.571429,0.523810,-0.047619
378,0.550000,0.600000,0.050000
379,0.400000,0.400000,0.000000
380,0.761905,0.714286,-0.047619
381,0.952381,0.952381,0.000000
382,0.857143,0.857143,0.000000
383,0.619048,0.666667,0.047619
384,0.900000,0.900000,0.000000
385,0.857143,0.857143,0.000000
386,0.450000,0.450000,0.000000
387,0.750000,0.750000,0.000000
388,0.571429,0.571429,0.000000
389,0.619048,0.666667,0.047619
390,0.476190,0.523810,0.047619
391,0.857143,0.809524,-0.047619
392,0.550000,0.550000,0.000000
393,0.900000,0.900000,0.000000
394,0.368421,0.210526,-0.157895
395,0.857143,0.809524,-0.047619
396,0.550000,0.550000,0.000000
397,0.700000,0.700000,0.000000
398,0.750000,0.800000,0.050000
399,0.857143,0.857143,0.000000
400,0.428571,0.476190,0.047619
401,0.857143,0.857143,0.000000
402,0.950000,0.950000,0.000000
403,0.809524,0.857143,0.047619
404,0.904762,0.952381,0.047619
405,0.809524,0.809524,0.000000
406,0.857143,0.857143,0.000000
407,0.550000,0.550000,0.000000
408,0.523810,0.523810,0.000000
409,0.450000,0.450000,0.000000
410,0.857143,0.857143,0.000000
411,0.809524,0.857143,0.047619
412,0.523810,0.476190,-0.047619
413,0.409091,0.409091,0.000000
414,0.380952,0.380952,0.000000
