original_label,sample_count,oof_accuracy,mean_p_original,mean_quality,mean_soft_weight,low_weight_fraction
167,191,0.8848167539267016,0.85699,0.6130890073927597,0.7291623051749319,0.13612565445026178
168,191,0.8481675392670157,0.79930013,0.6032722534972648,0.7222905774480852,0.13612565445026178
169,191,0.9685863874345549,0.9257158,0.6515706827522728,0.756099477926591,0.04712041884816754
170,190,0.6263157894736842,0.5229473,0.5001315799159439,0.6500921059411607,0.24736842105263157
171,181,0.569060773480663,0.41609856,0.4719613268539227,0.6303729287977459,0.2541436464088398
172,184,0.5815217391304348,0.47415903,0.5194293493708677,0.6636005445596073,0.1956521739130435
173,190,0.9,0.8275241,0.583552633682756,0.7084868435779291,0.13157894736842105
174,184,0.842391304347826,0.7830191,0.5952445669403381,0.7166711968582367,0.15217391304347827
175,181,0.8729281767955801,0.8149038,0.5690607754956128,0.6983425428469289,0.15469613259668508
176,186,0.5752688172043011,0.46625555,0.48360215167524995,0.6385215061726749,0.22580645161290322
177,181,0.9171270718232044,0.86184305,0.6350828753218302,0.7445580127252811,0.11049723756906077
178,183,0.7431693989071039,0.62900215,0.5338797828274183,0.6737158479791928,0.20218579234972678
179,190,0.8473684210526315,0.8107437,0.5988157914500488,0.7191710540150341,0.15263157894736842
180,188,0.8670212765957447,0.7841059,0.5763297890709277,0.7034308523496494,0.14893617021276595
181,190,0.8368421052631579,0.70280415,0.5623684228427316,0.6936578959899121,0.12631578947368421
182,186,0.8333333333333334,0.7699663,0.5752688191510656,0.702688173405746,0.13978494623655913
183,183,0.726775956284153,0.5818588,0.5236338811921455,0.6665437168345019,0.2185792349726776
184,152,0.29605263157894735,0.21971002,0.4557565796434095,0.6190296057503866,0.21710526315789475
185,185,0.9135135135135135,0.8645742,0.6058108123754328,0.7240675686628029,0.14054054054054055
186,182,0.9285714285714286,0.88290656,0.6380494522094563,0.7466346165466194,0.0989010989010989
187,181,0.6132596685082873,0.48258954,0.49765193506828326,0.6483563545477983,0.20994475138121546
188,181,0.8287292817679558,0.7021256,0.530939228104129,0.6716574596728903,0.19889502762430938
189,184,0.782608695652174,0.6512322,0.544701088991259,0.6812907622938813,0.20108695652173914
190,183,0.7540983606557377,0.659383,0.5319672147473676,0.6723770503231573,0.21311475409836064
191,186,0.8118279569892473,0.74847287,0.5670698945961331,0.6969489262172931,0.1827956989247312
192,184,0.7010869565217391,0.5987745,0.5403532629326472,0.678247284052853,0.24456521739130435
193,184,0.7336956521739131,0.5946689,0.5167119579126492,0.6616983705388544,0.1793478260869565
194,181,0.6629834254143646,0.52930254,0.5131215483011955,0.6591850838108368,0.2154696132596685
195,148,0.6621621621621622,0.5827474,0.5528716241311584,0.6870101368918109,0.1891891891891892
196,184,0.8641304347826086,0.7654364,0.589673915333317,0.712771740733322,0.15217391304347827
197,189,0.6455026455026455,0.5603549,0.5141534405903369,0.6599074084132357,0.2328042328042328
198,171,0.4853801169590643,0.42343867,0.4938596504168552,0.6457017552917986,0.2573099415204678
199,184,0.6793478260869565,0.5834545,0.5427989147320066,0.6799592403124045,0.22826086956521738
200,185,0.8108108108108109,0.7058529,0.5606756775725532,0.6924729743007872,0.17297297297297298
201,189,0.8359788359788359,0.7680765,0.5802910071694188,0.7062037050185932,0.1746031746031746
202,160,0.20625,0.17459428,0.4526562504959292,0.6168593753471504,0.2375
203,182,0.6483516483516484,0.54027027,0.5427197817651617,0.679903847235613,0.18681318681318682
204,190,0.9263157894736842,0.84192634,0.5922368446286571,0.71456579124006,0.12105263157894737
205,189,0.5925925925925926,0.45829636,0.4900793663171864,0.6430555564220304,0.24867724867724866
206,181,0.9171270718232044,0.89375347,0.6483425437971867,0.7538397806580307,0.09944751381215469
207,184,0.9130434782608695,0.8779784,0.6449728280751278,0.7514809796525894,0.10869565217391304
208,189,0.8412698412698413,0.7815734,0.5888888911260342,0.7122222237882239,0.1746031746031746
209,179,0.664804469273743,0.5737045,0.5167597778953154,0.6617318445267207,0.22346368715083798
210,183,0.5901639344262295,0.49698994,0.49316940003079796,0.6452185800215585,0.28415300546448086
211,186,0.6559139784946236,0.5905742,0.5185483886389642,0.6629838720472749,0.25806451612903225
212,183,0.7103825136612022,0.60909605,0.5193989083781595,0.6635792358647116,0.20765027322404372
213,186,0.6989247311827957,0.5408405,0.5045698935586599,0.653198925491062,0.1935483870967742
214,187,0.46524064171123,0.35830957,0.46657754091974246,0.6266042786438196,0.26737967914438504
215,186,0.7634408602150538,0.6357103,0.5215053779744012,0.6650537645820808,0.22043010752688172
216,189,0.7142857142857143,0.62673837,0.5133597896863071,0.659351852780415,0.21693121693121692
217,163,0.5153374233128835,0.4554869,0.5346625780812436,0.6742638046568704,0.22085889570552147
218,182,0.4945054945054945,0.44186702,0.4960164845644772,0.6472115391951341,0.22527472527472528
219,183,0.7431693989071039,0.6285743,0.5286885260863871,0.670081968260471,0.19672131147540983
220,181,0.5524861878453039,0.4847092,0.5243093938561599,0.6670165756993118,0.2541436464088398
221,183,0.4644808743169399,0.3578255,0.48155737810773275,0.6370901646754129,0.20218579234972678
222,182,0.6758241758241759,0.59864515,0.5263736279742731,0.6684615395819911,0.24175824175824176
223,183,0.6994535519125683,0.5559262,0.5004098371750182,0.6502868860225126,0.22950819672131148
224,185,0.8,0.7321336,0.5764864885001569,0.7035405419501098,0.1783783783783784
225,184,0.8043478260869565,0.7372807,0.5940217416186858,0.71581521913308,0.14673913043478262
226,186,0.43010752688172044,0.36555564,0.4573924738152694,0.6201747316706885,0.2903225806451613
227,190,0.6210526315789474,0.5531641,0.522631580519833,0.6658421063638831,0.25263157894736843
228,183,0.6284153005464481,0.46643922,0.49221311603657536,0.6445491812256027,0.2185792349726776
229,190,0.6157894736842106,0.5381889,0.5209210539393518,0.6646447377575463,0.21578947368421053
230,188,0.9095744680851063,0.85120326,0.6175531938315388,0.7322872356820771,0.10638297872340426
231,185,0.9351351351351351,0.91471803,0.6697297310144514,0.768810811710116,0.0918918918918919
232,189,0.8095238095238095,0.7529206,0.5761904774953133,0.7033333342467193,0.1746031746031746
233,182,0.5164835164835165,0.37603933,0.4725274735406696,0.6307692314784686,0.21428571428571427
234,185,0.7621621621621621,0.64935964,0.5237837851792574,0.6666486496254801,0.14054054054054055
235,185,0.6648648648648648,0.50997615,0.49837837952617053,0.6488648656683194,0.22702702702702704
236,184,0.842391304347826,0.7648372,0.5869565241484215,0.710869566903895,0.14673913043478262
237,184,0.8804347826086957,0.81777996,0.5955163061922497,0.7168614143345747,0.11956521739130435
238,184,0.7336956521739131,0.6070121,0.5229619580300767,0.6660733706210538,0.18478260869565216
239,184,0.8152173913043478,0.7091573,0.5433423929645315,0.680339675075172,0.18478260869565216
240,171,0.4678362573099415,0.4066976,0.4902046794474822,0.6431432756132375,0.23391812865497075
241,162,0.12345679012345678,0.099762835,0.4314814817091381,0.6020370371963966,0.2345679012345679
242,183,0.6284153005464481,0.51418215,0.5158469960398849,0.6610928972279194,0.2568306010928962
243,176,0.6590909090909091,0.5499191,0.5017045469827611,0.6511931828879327,0.1875
244,184,0.8206521739130435,0.75864214,0.5785326105785434,0.7049728274049805,0.15760869565217392
245,188,0.6170212765957447,0.5108291,0.4855053202348187,0.639853724164373,0.19148936170212766
246,191,0.9528795811518325,0.91213524,0.6500000014998681,0.7550000010499077,0.09947643979057591
247,183,0.5683060109289617,0.46141115,0.4942622961425553,0.6459836072997887,0.20765027322404372
248,180,0.6722222222222223,0.5331506,0.49791666785048116,0.6485416674953368,0.20555555555555555
249,167,0.5089820359281437,0.40086862,0.4811377257398681,0.6367964080179076,0.23952095808383234
250,184,0.5489130434782609,0.42379895,0.48125000109126714,0.6368750007638869,0.21195652173913043
