label,val_samples,train_samples,drift,ft_recall,lp_recall,delta_recall
190,24,213,0.01800922304,0.9583333135,0.9583333135,0
191,25,222,0.05056408793,0.7599999905,0.4799999893,0.2800000012
192,23,205,0.04084086046,0.9565217495,0.9565217495,0
193,17,150,0.03466268629,0.9411764741,0.7058823705,0.2352941036
194,22,193,0.03365764022,0.7272727489,0.7272727489,0
195,20,177,0.02951721847,0.8999999762,0.8500000238,0.04999995232
196,24,221,0.0421060808,0.125,0.125,0
197,17,150,0.03899202868,0.6470588446,0.5882353187,0.05882352591
198,24,217,0.02429955266,0.9166666865,0.8333333135,0.08333337307
199,23,208,0.04077186808,0.8695651889,0.7391304374,0.1304347515
200,19,167,0.0257032644,0.947368443,0.7368420959,0.2105263472
201,24,220,0.03205088153,0.9166666865,0.875,0.04166668653
202,23,209,0.04150551558,0.6956521869,0.4782608747,0.2173913121
203,24,218,0.04716026783,0.6666666865,0.4583333433,0.2083333433
204,22,194,0.03981988505,0.7272727489,0.6818181872,0.04545456171
205,16,147,0.05660759285,0.6875,0.5,0.1875
206,25,222,0.04861986637,0.8799999952,0.6800000072,0.1999999881
207,24,213,0.02727797814,0.875,0.7916666865,0.08333331347
208,17,153,0.04044385627,0.8823529482,0.8823529482,0
209,19,159,0.03177360445,0.7894737124,0.5789473653,0.2105263472
210,18,162,0.03225780278,0.8333333135,0.8333333135,0
211,18,167,0.04636589065,0.722222209,0.555555582,0.1666666269
212,16,145,0.04170795903,0.8125,0.6875,0.125
213,18,162,0.05121843517,0.3333333433,0.277777791,0.05555555224
214,20,178,0.02807669714,0.8500000238,0.8500000238,0
215,22,202,0.01903942972,0.9090909362,0.9090909362,0
216,18,158,0.0374535732,0.3888888955,0.3888888955,0
217,24,220,0.03926565871,0.8333333135,0.7916666865,0.04166662693
218,22,200,0.03729274496,0.5909090638,0.5454545617,0.04545450211
219,19,174,0.036828354,0.7368420959,0.6842105389,0.05263155699
220,21,193,0.04726710543,0.4761904776,0.2380952388,0.2380952388
221,19,172,0.04567864165,0.7894737124,0.6315789223,0.1578947902
222,16,148,0.03831080347,1,0.9375,0.0625
223,22,194,0.02785786241,0.9545454383,0.9545454383,0
224,22,198,0.04294537008,0.7272727489,0.6818181872,0.04545456171
225,16,140,0.05396939442,0.625,0.5625,0.0625
226,22,202,0.04432607815,0.8181818128,0.7727272511,0.04545456171
227,23,204,0.02834253386,1,1,0
228,23,204,0.05111734942,0.7826086879,0.5217391253,0.2608695626
229,16,147,0.05016708374,0.625,0.4375,0.1875
230,22,195,0.0378170535,0.8636363745,0.8181818128,0.04545456171
231,17,149,0.02502316982,0.8235294223,0.8235294223,0
232,20,179,0.03936227039,0.200000003,0.05000000075,0.1500000022
233,23,207,0.03858748451,0.7391304374,0.6956521869,0.0434782505
234,23,208,0.03950376436,0.8695651889,0.6956521869,0.173913002
235,22,203,0.04401353747,0.6818181872,0.6363636255,0.04545456171
236,22,196,0.05260979012,0.2727272809,0.227272734,0.04545454681
237,15,136,0.044363074,0.6666666865,0.400000006,0.2666666806
238,18,163,0.04865016416,0.277777791,0.277777791,0
239,22,199,0.04903670773,0.8636363745,0.4545454681,0.4090909064
240,23,214,0.03631174937,1,0.913043499,0.08695650101
241,18,160,0.03672198951,0.722222209,0.6666666865,0.05555552244
242,19,167,0.02173234336,0.8947368264,0.6842105389,0.2105262876
243,24,215,0.04190021753,0.4166666567,0.4583333433,-0.04166668653
244,17,156,0.03914771229,0.8235294223,0.8235294223,0
245,19,170,0.05188511685,0.7368420959,0.7368420959,0
246,24,215,0.03778946772,0.25,0.1666666716,0.08333332837
247,22,201,0.03860501945,0.6818181872,0.2727272809,0.4090909064
248,24,220,0.03136374801,0.9583333135,0.9166666865,0.04166662693
249,19,173,0.04235536605,0.7368420959,0.6842105389,0.05263155699
250,19,173,0.04191585258,0.8947368264,0.8947368264,0
251,16,139,0.02496665344,1,1,0
252,23,208,0.04393122345,0.8695651889,0.6956521869,0.173913002
253,23,204,0.03919585049,0.913043499,0.7826086879,0.1304348111
254,19,170,0.03743334115,0.7368420959,0.7368420959,0
255,17,155,0.04371204972,0.8235294223,0.470588237,0.3529411852
256,16,142,0.03431996331,0.75,0.6875,0.0625
257,23,207,0.03199614584,0.7391304374,0.7826086879,-0.0434782505
258,19,175,0.0337510705,0.7368420959,0.6842105389,0.05263155699
259,24,216,0.04738686979,0.75,0.625,0.125
260,22,197,0.03972670063,0.7727272511,0.6818181872,0.09090906382
261,25,217,0.03472220525,1,1,0
262,21,193,0.0439235419,0.7619047761,0.571428597,0.1904761791
263,16,145,0.03029910102,0.9375,0.6875,0.25
264,16,142,0.04168844968,0.125,0.0625,0.0625
265,23,204,0.04183261842,0.1739130467,0,0.1739130467
266,17,157,0.03235766292,0.7647058964,0.6470588446,0.1176470518
