class_index,class_name,count,D3_STRICT_accuracy,B2_GCE07_accuracy
192,0192,21,0.8095238095238095,0.8095238095238095
193,0193,20,0.65,0.7
194,0194,20,0.85,0.8
195,0195,21,0.38095238095238093,0.38095238095238093
196,0196,21,0.7619047619047619,0.7619047619047619
197,0197,21,0.5714285714285714,0.5714285714285714
198,0198,20,0.45,0.35
199,0199,20,0.65,0.7
200,0200,21,0.8095238095238095,0.9523809523809523
201,0201,21,0.8571428571428571,0.9047619047619048
202,0202,20,0.4,0.4
203,0203,21,0.7142857142857143,0.7142857142857143
204,0204,21,1.0,1.0
205,0205,21,0.8095238095238095,0.7619047619047619
206,0206,20,0.9,0.9
207,0207,20,0.85,0.85
208,0208,21,0.8571428571428571,0.9047619047619048
209,0209,21,0.9047619047619048,0.8571428571428571
210,0210,20,0.35,0.4
211,0211,21,0.6190476190476191,0.7142857142857143
212,0212,21,0.6190476190476191,0.6666666666666666
213,0213,22,0.7727272727272727,0.7727272727272727
214,0214,21,0.2857142857142857,0.23809523809523808
215,0215,21,0.8571428571428571,0.8095238095238095
216,0216,21,0.6666666666666666,0.7619047619047619
217,0217,21,0.47619047619047616,0.42857142857142855
218,0218,20,0.6,0.55
219,0219,20,0.8,0.7
220,0220,20,0.6,0.55
221,0221,20,0.4,0.5
222,0222,20,0.45,0.45
223,0223,20,0.8,0.85
224,0224,21,0.7142857142857143,0.7142857142857143
225,0225,20,1.0,0.9
226,0226,21,0.47619047619047616,0.5238095238095238
227,0227,21,0.8095238095238095,0.6666666666666666
228,0228,21,0.7619047619047619,0.7619047619047619
229,0229,21,0.7142857142857143,0.5714285714285714
230,0230,21,0.7619047619047619,0.8095238095238095
231,0231,20,1.0,1.0
232,0232,21,0.9523809523809523,0.9523809523809523
233,0233,20,0.45,0.45
234,0234,21,0.7619047619047619,0.7619047619047619
235,0235,21,0.7142857142857143,0.7142857142857143
236,0236,22,0.7727272727272727,0.8181818181818182
237,0237,20,0.8,0.8
238,0238,21,0.5714285714285714,0.5714285714285714
239,0239,20,0.85,0.85
240,0240,20,0.6,0.65
241,0241,20,0.2,0.0
242,0242,21,0.6666666666666666,0.5238095238095238
243,0243,20,0.7,0.7
244,0244,20,0.85,0.8
245,0245,21,0.7619047619047619,0.8095238095238095
246,0246,21,0.9523809523809523,0.9523809523809523
247,0247,20,0.6,0.35
248,0248,20,0.75,0.6
249,0249,20,0.6,0.75
250,0250,20,0.6,0.6
251,0251,21,0.7619047619047619,0.8095238095238095
252,0252,20,0.85,0.85
253,0253,21,0.8095238095238095,0.8095238095238095
254,0254,20,0.95,0.95
255,0255,21,0.8571428571428571,0.9047619047619048
256,0256,22,0.45454545454545453,0.4090909090909091
257,0257,20,0.85,0.8
258,0258,21,0.9523809523809523,0.9523809523809523
259,0259,21,0.8571428571428571,0.9047619047619048
260,0260,21,0.9047619047619048,0.9523809523809523
261,0261,21,0.6190476190476191,0.7142857142857143
262,0262,21,0.7142857142857143,0.7619047619047619
263,0263,20,0.5,0.55
264,0264,20,0.7,0.7
265,0265,21,0.9523809523809523,0.7619047619047619
266,0266,20,0.0,0.0
267,0267,21,0.5714285714285714,0.7142857142857143
268,0268,20,0.8,0.8
269,0269,20,0.85,0.8
270,0270,20,0.85,0.85
271,0271,21,0.7619047619047619,0.7619047619047619
272,0272,20,0.9,0.9
273,0273,21,0.9047619047619048,0.9047619047619048
274,0274,20,0.7,0.7
275,0275,21,0.7619047619047619,0.7619047619047619
276,0276,21,0.8095238095238095,0.7619047619047619
277,0277,21,0.8095238095238095,0.8095238095238095
278,0278,22,0.7727272727272727,0.7727272727272727
279,0279,20,0.5,0.5
280,0280,20,0.35,0.35
281,0281,21,0.9047619047619048,0.9523809523809523
282,0282,21,0.5238095238095238,0.5238095238095238
283,0283,21,0.6666666666666666,0.7619047619047619
284,0284,21,0.8095238095238095,0.8095238095238095
285,0285,20,0.4,0.5
286,0286,22,0.4090909090909091,0.36363636363636365
287,0287,21,0.7619047619047619,0.7619047619047619
288,0288,21,0.8095238095238095,0.8095238095238095
289,0289,21,0.9523809523809523,1.0
290,0290,21,0.7142857142857143,0.7619047619047619
291,0291,21,0.9047619047619048,0.8571428571428571
292,0292,21,0.9523809523809523,0.9047619047619048
293,0293,21,0.9047619047619048,1.0
294,0294,21,0.47619047619047616,0.5238095238095238
295,0295,21,0.9523809523809523,0.9523809523809523
296,0296,21,0.6666666666666666,0.6666666666666666
297,0297,20,0.7,0.65
298,0298,20,0.65,0.7
299,0299,20,0.75,0.75
300,0300,21,0.7619047619047619,0.7619047619047619
301,0301,20,0.8,0.8
302,0302,20,0.35,0.3
303,0303,20,0.8,0.8
304,0304,20,0.3,0.2
305,0305,21,0.7142857142857143,0.8095238095238095
306,0306,21,0.8095238095238095,0.7142857142857143
307,0307,20,0.7,0.75
308,0308,21,0.9523809523809523,0.9047619047619048
309,0309,20,0.8,0.8
310,0310,20,0.65,0.6
311,0311,21,0.8571428571428571,0.8571428571428571
312,0312,21,0.19047619047619047,0.23809523809523808
313,0313,21,0.6190476190476191,0.6190476190476191
314,0314,21,0.9047619047619048,0.9047619047619048
315,0315,21,0.5714285714285714,0.5714285714285714
316,0316,21,0.6190476190476191,0.6666666666666666
317,0317,21,0.9523809523809523,0.9047619047619048
318,0318,21,0.8095238095238095,0.8571428571428571
319,0319,20,0.85,0.95
320,0320,21,0.9523809523809523,0.8571428571428571
321,0321,21,0.5714285714285714,0.47619047619047616
322,0322,20,0.65,0.65
323,0323,20,0.6,0.65
324,0324,20,0.7,0.55
325,0325,20,0.85,0.9
326,0326,20,0.25,0.2
327,0327,22,0.45454545454545453,0.4090909090909091
328,0328,21,0.9523809523809523,0.9523809523809523
329,0329,20,0.65,0.7
330,0330,21,1.0,0.9523809523809523
331,0331,20,0.65,0.6
332,0332,20,0.85,0.85
333,0333,20,0.5,0.3
334,0334,19,0.7894736842105263,0.5263157894736842
335,0335,21,0.8095238095238095,0.8095238095238095
336,0336,21,0.8095238095238095,0.7142857142857143
337,0337,22,0.13636363636363635,0.09090909090909091
338,0338,20,0.35,0.5
339,0339,21,0.8571428571428571,0.8571428571428571
340,0340,21,0.7619047619047619,0.8095238095238095
341,0341,20,0.85,0.75
342,0342,22,0.5,0.5454545454545454
343,0343,21,0.5238095238095238,0.6190476190476191
344,0344,20,0.4,0.35
345,0345,21,0.8571428571428571,0.7142857142857143
346,0346,20,1.0,1.0
347,0347,18,0.16666666666666666,0.2222222222222222
348,0348,21,0.8571428571428571,0.8571428571428571
349,0349,19,0.5263157894736842,0.5789473684210527
350,0350,20,0.85,0.8
351,0351,21,0.9047619047619048,0.8571428571428571
352,0352,21,0.9047619047619048,0.9523809523809523
353,0353,20,0.55,0.5
354,0354,20,0.85,0.85
355,0355,21,0.9047619047619048,0.9047619047619048
356,0356,20,0.95,0.95
357,0357,20,0.75,0.75
358,0358,21,0.42857142857142855,0.5238095238095238
359,0359,20,0.85,0.9
360,0360,21,0.7142857142857143,0.7619047619047619
361,0361,20,0.6,0.6
362,0362,20,0.8,0.85
363,0363,21,0.8571428571428571,0.8095238095238095
364,0364,20,0.5,0.45
365,0365,19,0.3157894736842105,0.42105263157894735
366,0366,21,0.8571428571428571,0.8571428571428571
367,0367,20,0.85,0.85
368,0368,23,0.6521739130434783,0.7391304347826086
369,0369,21,0.7619047619047619,0.7142857142857143
370,0370,21,0.8095238095238095,0.8571428571428571
371,0371,20,0.65,0.6
372,0372,21,0.9047619047619048,0.8571428571428571
373,0373,20,0.7,0.6
374,0374,21,0.7619047619047619,0.8571428571428571
375,0375,20,0.75,0.85
376,0376,21,0.7142857142857143,0.42857142857142855
377,0377,21,0.5714285714285714,0.5714285714285714
378,0378,20,0.55,0.55
379,0379,20,0.4,0.25
380,0380,21,0.7619047619047619,0.7619047619047619
381,0381,21,0.9523809523809523,0.9523809523809523
382,0382,21,0.8571428571428571,0.9047619047619048
383,0383,21,0.6190476190476191,0.6666666666666666
384,0384,20,0.9,0.85
385,0385,21,0.8571428571428571,0.9047619047619048
386,0386,20,0.45,0.45
387,0387,20,0.75,0.65
388,0388,21,0.5714285714285714,0.5714285714285714
389,0389,21,0.6190476190476191,0.5238095238095238
390,0390,21,0.47619047619047616,0.5238095238095238
391,0391,21,0.8571428571428571,0.8095238095238095
392,0392,20,0.55,0.25
393,0393,20,0.9,0.85
394,0394,19,0.3684210526315789,0.2631578947368421
395,0395,21,0.8571428571428571,0.8095238095238095
396,0396,20,0.55,0.45
397,0397,20,0.7,0.75
398,0398,20,0.75,0.75
399,0399,21,0.8571428571428571,0.7619047619047619
400,0400,21,0.42857142857142855,0.42857142857142855
401,0401,21,0.8571428571428571,0.9047619047619048
402,0402,20,0.95,0.9
403,0403,21,0.8095238095238095,0.8571428571428571
404,0404,21,0.9047619047619048,0.9047619047619048
405,0405,21,0.8095238095238095,0.8095238095238095
406,0406,21,0.8571428571428571,0.9523809523809523
