label,class_name,total_groups,train_groups,val_groups,train_samples,val_samples,validation_status,segment,correct,recall,actual_training_exposures_to_selected_epoch
729,0729,232,209,23,212,23,covered_noisy_labels,head,17,0.739130437374115,1696
730,0730,238,214,24,214,24,covered_noisy_labels,head,0,0.0,1712
731,0731,166,149,17,149,17,covered_noisy_labels,head,11,0.6470588445663452,1192
732,0732,244,220,24,223,25,covered_noisy_labels,head,19,0.7599999904632568,1784
733,0733,220,198,22,200,22,covered_noisy_labels,head,11,0.5,1600
734,0734,188,169,19,169,19,covered_noisy_labels,head,11,0.5789473652839661,1352
735,0735,171,154,17,154,17,covered_noisy_labels,head,5,0.29411765933036804,1232
736,0736,183,165,18,165,18,covered_noisy_labels,head,16,0.8888888955116272,1320
737,0737,177,159,18,159,18,covered_noisy_labels,head,8,0.4444444477558136,1272
738,0738,173,156,17,156,17,covered_noisy_labels,head,9,0.529411792755127,1248
739,0739,190,171,19,171,19,covered_noisy_labels,head,11,0.5789473652839661,1368
740,0740,175,157,18,157,18,covered_noisy_labels,head,13,0.7222222089767456,1256
741,0741,165,149,16,149,16,covered_noisy_labels,head,5,0.3125,1192
742,0742,168,151,17,151,17,covered_noisy_labels,head,14,0.8235294222831726,1208
743,0743,224,202,22,202,22,covered_noisy_labels,head,22,1.0,1616
744,0744,235,211,24,212,24,covered_noisy_labels,head,18,0.75,1696
745,0745,161,145,16,145,16,covered_noisy_labels,head,7,0.4375,1160
746,0746,179,161,18,162,18,covered_noisy_labels,head,9,0.5,1296
747,0747,182,164,18,164,18,covered_noisy_labels,head,17,0.9444444179534912,1312
748,0748,213,192,21,192,21,covered_noisy_labels,head,21,1.0,1536
749,0749,233,210,23,211,23,covered_noisy_labels,head,17,0.739130437374115,1688
